id,sz1,szbg,Organ-Size,pbg,Con-Com,SI-Index,BI-Index,Modality,classes,Dice,clDice,Boundary,Perimeter,Haussdorf,size
102_0_55.npy_,1,65535,0.00152587890625,99.9984741210938,0,,,2,1,0.28571429848671,0.142857149243355,0.5,0.222222223877907,0.142857149243355,0.222222223877907
102_0_56.npy_,10,65526,0.0152587890625,99.9847412109375,0,,,2,1,0.588235318660736,0.705882370471954,0.705882370471954,0.266666680574417,0.600000023841858,0.777777791023254
102_0_57.npy_,2,65534,0.0030517578125,99.9969482421875,0,,,2,1,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,4.99999996961265E-09,3.33333338708996E-09
107_0_26.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_27.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_28.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_29.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_3.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_30.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_31.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_32.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_33.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_34.npy_,59,65477,0.09002685546875,99.9099731445312,0,,,2,1,1.13636364207359E-10,9.43396194497126E-11,1.16279069706238E-10,1.14942527718043E-10,1.24999996464759E-10,1.14942527718043E-10
107_0_35.npy_,133,65403,0.20294189453125,99.7970581054688,0,,,2,1,7.04225358583166E-11,7.40740732640966E-11,7.35294117260033E-11,7.40740732640966E-11,7.51879669635969E-11,7.35294117260033E-11
107_0_36.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_37.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_38.npy_,0,65536,0,100,0,,,2,0,1,1,1,9.99999993922529E-09,1,1
107_0_39.npy_,0,65536,0,100,0,,,2,0,1,1,4.99999996961265E-09,1,1,1
107_0_4.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_40.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
107_0_41.npy_,4,65532,0.006103515625,99.993896484375,0,,,2,1,2.49999998480632E-09,2.49999998480632E-09,0.400000005960465,0.400000005960465,2.49999998480632E-09,0.400000005960465
107_0_42.npy_,0,65536,0,100,0,,,2,0,1,1,1.42857137230834E-09,2.49999998480632E-09,1,8.33333346772491E-10
107_0_43.npy_,36,65500,0.054931640625,99.945068359375,4,-3.5238934211693,0.027027027027027,2,1,0.622950792312622,0.543209850788116,0.75949364900589,0.701298713684082,0.556701004505158,0.659574449062347
107_0_44.npy_,32,65504,0.048828125,99.951171875,2,-inf,0.058823529411765,2,1,0.52173912525177,0.760563373565674,0.78125,0.866666674613953,0.75324672460556,0.828571438789368
107_0_45.npy_,26,65510,0.0396728515625,99.9603271484375,0,,,2,1,0.571428596973419,0.64615386724472,0.699999988079071,0.730769217014313,0.568181812763214,0.617647051811218
107_0_46.npy_,61,65475,0.09307861328125,99.9069213867188,7,-2.91096228304035,0.031746031746032,2,1,0.677966117858887,0.738461554050446,0.75,0.683333337306976,0.769230782985687,0.662500023841858
107_0_47.npy_,121,65415,0.18463134765625,99.8153686523438,8,-0.173249108285077,0.03968253968254,2,1,0.633165836334229,0.651162803173065,0.660633504390717,0.660550475120544,0.578680217266083,0.703196346759796
60_0_36.npy_,507,65029,0.77362060546875,99.2263793945312,4,0.815841429602263,0.238738738738739,2,1,0.940371453762054,0.922646760940552,0.934761464595795,0.915974140167236,0.916512072086334,0.911819875240326
